"","inputstate","votereg","age","party_ID","askvote","vote_method"
"569",39,1,41,1,5,3
"570",39,1,64,1,5,1
"571",39,1,65,3,5,3
"572",39,1,47,1,5,1
"573",39,1,57,1,5,2
"574",39,1,56,1,5,1
"575",39,2,59,2,NA,NA
"576",39,1,50,3,1,NA
"577",39,1,62,1,5,2
"578",39,1,54,1,5,3
"579",39,1,71,3,5,1
"580",39,1,56,1,5,1
"581",39,1,60,3,5,1
"582",39,1,64,1,5,1
"583",39,1,54,1,5,1
"584",39,2,63,4,NA,NA
"585",39,1,63,2,5,2
"586",39,1,57,1,5,2
"587",39,1,45,3,5,1
"588",39,1,58,2,5,2
"589",39,1,56,3,5,2
"590",39,1,57,3,5,3
"591",39,1,58,2,5,3
"592",39,1,26,3,5,3
"593",39,1,65,3,5,3
"594",39,1,52,1,5,2
"595",39,1,64,1,5,2
"596",39,1,58,2,5,1
"597",39,1,34,1,5,1
"598",39,1,65,1,5,1
"599",39,1,52,2,5,2
"600",39,1,53,1,5,3
"601",39,2,32,3,NA,NA
"602",39,1,30,1,5,3
"603",39,1,35,3,5,3
"604",39,1,57,1,5,2
"605",39,2,33,4,NA,NA
"606",39,1,53,3,5,3
"607",39,1,60,3,5,3
"608",39,1,53,1,5,3
"609",39,1,33,2,5,3
"610",39,1,64,1,5,1
"611",39,1,58,1,5,1
"612",39,1,53,1,5,1
"613",39,2,59,1,NA,NA
"614",39,1,63,3,5,2
"615",39,1,60,2,5,1
"616",39,1,53,1,5,1
"617",39,1,48,1,1,NA
"618",39,1,58,2,5,3
"619",39,1,45,1,5,1
"620",39,1,58,3,5,2
"621",39,1,38,1,5,1
"622",39,1,41,NA,NA,NA
"623",39,1,49,2,5,1
"624",39,1,36,3,5,2
"625",39,1,44,3,5,3
"626",39,1,64,1,5,1
"627",39,1,51,2,5,3
"628",39,1,55,3,5,1
"629",39,1,64,1,5,2
"630",39,1,57,3,5,3
"631",39,1,54,3,5,1
"632",39,1,46,3,2,NA
"633",39,1,53,1,5,1
"634",39,1,59,2,5,1
"635",39,1,64,2,5,3
"636",39,1,61,1,5,1
"637",39,1,24,3,5,2
"638",39,1,57,1,5,1
"639",39,1,61,1,5,1
"640",39,1,53,3,5,1
"641",39,2,39,NA,NA,NA
"642",39,1,44,1,3,NA
"643",39,1,81,1,5,3
"644",39,1,36,1,5,2
"645",39,1,73,2,5,1
"646",39,1,28,3,5,1
"647",39,1,57,3,5,1
"648",39,1,31,1,5,1
"649",39,1,55,2,5,2
"650",39,1,62,1,5,2
"651",39,1,36,2,5,1
"652",39,1,55,3,5,1
"653",39,1,42,1,5,2
"654",39,1,52,3,5,2
"655",39,1,68,1,5,1
"656",39,1,38,3,5,1
"657",39,1,60,1,5,2
"658",39,1,67,1,5,2
"659",39,1,65,2,5,1
"660",39,1,61,1,5,1
"661",39,1,59,2,5,3
"662",39,1,65,1,5,3
"663",39,1,57,3,5,1
"664",39,1,70,3,5,2
"665",39,1,33,1,5,3
"666",39,1,52,3,5,1
"667",39,1,56,3,5,2
"668",39,1,64,1,5,3
"669",39,1,21,NA,NA,NA
"670",39,1,36,1,5,3
"671",39,1,61,1,5,2
"672",39,1,50,3,5,2
"673",39,1,60,2,5,1
"674",39,1,64,1,5,1
"675",39,1,56,1,5,1
"676",39,1,56,1,5,2
"677",39,1,37,2,5,1
"678",39,1,48,4,5,1
"679",39,1,49,1,5,2
"680",39,1,64,3,5,1
"681",39,1,47,2,5,3
"682",39,1,47,3,5,1
"683",39,1,44,3,5,1
"684",39,1,50,3,5,2
"685",39,1,52,3,5,2
"686",39,1,68,1,5,1
"687",39,1,60,1,5,1
"688",39,1,41,1,5,1
"689",39,1,44,1,5,1
"690",39,1,40,1,5,3
"691",39,1,63,3,5,2
"692",39,1,31,4,5,1
"693",39,1,31,3,5,3
"694",39,1,49,3,5,3
"695",39,1,38,3,5,3
"696",39,1,59,1,5,1
"697",39,1,63,1,5,3
"698",39,1,38,1,1,NA
"699",39,1,60,3,5,3
"700",39,1,72,3,5,1
"701",39,1,60,4,5,1
"702",39,1,32,2,3,NA
"703",39,1,31,1,3,NA
"704",39,1,60,2,5,1
"705",39,1,53,3,5,1
"706",39,1,55,2,5,1
"707",39,1,54,2,5,1
"708",39,1,66,2,5,1
"709",39,1,65,2,5,1
"710",39,1,42,NA,NA,NA
"711",39,1,56,2,5,1
"712",39,1,49,2,5,1
"713",39,1,47,3,5,3
"714",39,1,48,1,5,2
"715",39,1,32,2,5,1
"716",39,1,53,1,5,2
"717",39,1,54,3,5,1
"718",39,1,71,3,5,3
"719",39,1,69,NA,NA,NA
"720",39,1,75,4,5,3
"721",39,1,61,2,5,1
"722",39,1,74,1,5,3
"723",39,1,53,2,5,1
"724",39,1,61,2,5,3
"725",39,1,32,1,5,3
"726",39,1,41,1,5,1
"727",39,1,59,1,5,2
"728",39,1,63,2,5,3
"729",39,1,32,1,5,2
"730",39,1,43,1,5,2
"731",39,1,85,2,5,3
"732",39,1,27,2,5,1
"733",39,1,50,NA,NA,NA
"734",39,2,74,3,NA,NA
"735",39,1,26,3,5,1
"736",39,2,48,2,NA,NA
"737",39,1,54,2,5,3
"738",39,1,39,1,5,3
"739",39,1,37,1,5,3
"740",39,1,60,2,5,2
"741",39,1,73,2,5,3
"742",39,1,65,1,5,3
"743",39,1,64,1,5,3
"744",39,1,68,2,5,3
"745",39,1,84,2,5,3
"746",39,1,40,3,5,2
"747",39,1,66,1,5,3
"748",39,1,50,2,5,1
"749",39,1,45,2,5,1
"750",39,1,59,1,5,1
"751",39,1,80,1,5,3
"752",39,1,67,1,5,2
"753",39,1,70,1,5,3
"754",39,1,47,1,2,NA
"755",39,1,54,2,5,1
"756",39,1,29,3,5,3
"757",39,1,61,3,3,NA
"758",39,1,61,2,5,1
"759",39,2,25,2,NA,NA
"760",39,1,49,1,5,2
"761",39,1,65,4,5,2
"762",39,1,39,2,1,NA
"763",39,1,54,2,5,1
"764",39,1,62,1,5,1
"765",39,1,80,1,5,1
"766",39,1,37,2,5,2
"767",39,1,64,1,5,3
"768",39,1,52,1,4,3
"769",39,1,50,2,5,1
"770",39,2,37,1,5,1
"771",39,1,47,2,5,1
"772",39,1,55,3,5,1
"773",39,1,31,3,5,3
"774",39,1,82,2,5,1
"775",39,2,40,NA,NA,NA
"776",39,1,33,1,5,1
"777",39,1,33,NA,NA,NA
"778",39,1,73,3,5,1
"779",39,1,39,1,5,1
"780",39,1,76,1,5,3
"781",39,2,59,1,1,NA
"782",39,1,57,3,5,3
"783",39,1,37,NA,NA,NA
"784",39,2,21,NA,NA,NA
"785",39,1,59,2,5,1
"786",39,1,61,4,5,1
"787",39,1,70,3,5,3
"788",39,1,31,2,5,2
"789",39,1,60,2,5,1
"790",39,1,49,1,5,3
"791",39,1,65,1,5,1
"792",39,1,58,2,5,1
"793",39,1,54,2,5,3
"794",39,1,59,2,5,2
"795",39,1,41,3,5,1
"796",39,1,54,3,5,2
"797",39,1,25,3,5,1
"798",39,1,57,2,5,3
"799",39,1,77,1,5,2
"800",39,1,59,1,5,2
"801",39,1,55,3,5,2
"802",39,1,65,1,5,1
"803",39,1,58,2,5,1
"804",39,1,64,1,5,1
"805",39,1,56,NA,NA,NA
"806",39,1,64,NA,NA,NA
"807",39,1,73,2,5,1
"808",39,1,58,3,5,1
"809",39,1,64,3,5,2
